id,category,abm_dimensions,reference_dimensions,pixels_equal,abm_gt,reference_gt
formulaire004-equation047,identical,519x132,519x132,true,f ( x ) = \sum _ { n = - \infty } ^ { \infty } a _ { n } = x ^ { \alpha _ { n } },f ( x ) = \sum _ { n = - \infty } ^ { \infty } a _ { n } = x ^ { \alpha _ { n } }
formulaire026-equation071,identical,313x85,313x85,true,f ( x _ { 1 } ) \leq f ( x _ { 2 } ),f ( x _ { 1 } ) \leq f ( x _ { 2 } )
formulaire030-equation000,identical,522x76,522x76,true,1 5 4 + 1 3 \leq 1 6 7,1 5 4 + 1 3 \leq 1 6 7
MfrDB2656,identical,93x136,93x136,true,\frac { 2 } { 4 },\frac { 2 } { 4 }
200924-1331-237,identical,315x90,315x90,true,i + F > j + x,i + F > j + x
2009213-139-61,identical,468x78,468x78,true,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9,k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
KME2G3_25_sub_22,identical,592x118,592x118,true,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z,x _ { x } ^ { x } + y _ { y } ^ { y } + z _ { z } ^ { z } - x - y - z
MfrDB2212,identical,384x95,384x95,true,\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a },\sqrt { a } = 2 ^ { - n } \sqrt { 4 ^ { n } a }
formulaire019-equation006,identical,1229x129,1229x129,true,x y ^ { 2 } + e y = a x ^ { 3 } + b x ^ { 2 } + c x + d,x y ^ { 2 } + e y = a x ^ { 3 } + b x ^ { 2 } + c x + d
formulaire006-equation000,identical,1036x89,1036x89,true,4 4 \pm ( 8 - 1 4 2 - 4 8 ) \times ( 1 9 5 / 1 0 9 ),4 4 \pm ( 8 - 1 4 2 - 4 8 ) \times ( 1 9 5 / 1 0 9 )
formulaire032-equation021,identical,293x77,293x77,true,n = 1 5 0 0,n = 1 5 0 0
formulaire011-equation018,identical,1005x124,1005x124,true,x = \sqrt { r ^ { 2 } + a ^ { 2 } } \sin \theta \cos \phi,x = \sqrt { r ^ { 2 } + a ^ { 2 } } \sin \theta \cos \phi
formulaire020-equation056,identical,905x217,905x217,true,\frac { 1 } { 1 - x } = \sum _ { i = 0 } ^ { n } x ^ { i } + \frac { x ^ { n + 1 } } { 1 - x },\frac { 1 } { 1 - x } = \sum _ { i = 0 } ^ { n } x ^ { i } + \frac { x ^ { n + 1 } } { 1 - x }
formulaire008-equation011,identical,819x238,819x238,true,\frac { x ^ { 2 } + y ^ { 2 } } { a ^ { 2 } } - \frac { z ^ { 2 } } { c ^ { 2 } } - 1 = 0,\frac { x ^ { 2 } + y ^ { 2 } } { a ^ { 2 } } - \frac { z ^ { 2 } } { c ^ { 2 } } - 1 = 0
