sample_id,ground_truth_equal,ground_truth_san,ground_truth_posformer,san_prediction,posformer_prediction,san_correct_gt_san,posformer_correct_gt_san,oracle_correct_gt_san,outcome_gt_san,san_correct_gt_posformer,posformer_correct_gt_posformer,oracle_correct_gt_posformer,outcome_gt_posformer,san_changes_correctness,posformer_changes_correctness
18_em_5,False,\int g = \lim _ { n \rightarrow \infty } \int g _ { n },\int g = \lim \limits _ { n \rightarrow \infty } \int g _ { n },\int g = \lim _ { n \rightarrow \infty } \int g z,\int g = \lim \limits _ { n \rightarrow \infty } \int q _ { n },False,False,False,both_wrong,False,False,False,both_wrong,False,False
23_em_59,False,\sum _ { r = 1 } ^ { n } a r ^ { b } = a \sum _ { r = 1 } ^ { n } r ^ { b },\sum \limits _ { r = 1 } ^ { n } a r ^ { b } = a \sum \limits _ { r = 1 } ^ { n } r ^ { b },\sum _ { \gamma = 1 } ^ { n } a ^ { b } = a \sum _ { r = 1 } ^ { n } \gamma ^ { b },\sum \limits _ { \gamma = 1 } ^ { n } a ^ { b } = a \sum \limits _ { \gamma = 1 } ^ { n } \gamma ^ { b },False,False,False,both_wrong,False,False,False,both_wrong,False,False
23_em_72,False,\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },\sum _ { i = 1 } ^ { n } x _ { n } = \sum _ { i = 1 } ^ { n } y _ { n },\sum \limits _ { i = 1 } ^ { n } x _ { n } = \sum \limits _ { i = 1 } ^ { n } y _ { n },True,False,True,san_only,False,True,True,posformer_only,True,True
26_em_77,False,x ^ { i } e _ { i } = \sum _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum \limits _ { i } x ^ { i } e _ { i },x ^ { i } e _ { i } = \sum _ { i } ^ { 0 } x ^ { q } e _ { 0 },x ^ { i } e _ { i } = \sum \limits _ { i } x ^ { i } e _ { i },False,False,False,both_wrong,False,True,True,posformer_only,False,True
26_em_84,False,S _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },S _ { \infty } = \lim \limits _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - r } = \frac { a } { 1 - r },s _ { \infty } = \lim _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - \infty } = \frac { a } { 1 - p },S _ { \infty } = \lim \limits _ { n \rightarrow \infty } \frac { a ( 1 - r ^ { n } ) } { 1 - v _ { 0 } } = \frac { a } { 1 - \infty },False,False,False,both_wrong,False,False,False,both_wrong,False,False
27_em_102,False,\lim _ { a \rightarrow \infty } f ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),\lim _ { a \rightarrow \infty } b ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),False,False,False,both_wrong,False,True,True,posformer_only,False,True
28_em_126,False,\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum \limits _ { k = 1 } ^ { N } k ^ { 2 } } { a },\frac { \sum _ { k = 1 } ^ { N } k ^ { 2 } } { \frac { N } { 0 } },\frac { \sum \limits _ { k = 1 } ^ { N } k ^ { 2 } } { \Delta },False,False,False,both_wrong,False,False,False,both_wrong,False,False
28_em_144,False,\sum _ { i } k _ { i },\sum \limits _ { i } k _ { i },\sum _ { i } k _ { i },\sum \limits _ { i } k _ { i },True,False,True,san_only,False,True,True,posformer_only,True,True
29_em_161,False,f ( z _ { 0 } ) = \lim _ { z \rightarrow z _ { 0 } } f ( z ),f ( z _ { 0 } ) = \lim \limits _ { z \rightarrow z _ { 0 } } f ( z ),f ( v _ { 0 } ) = f _ { y + z } f ( r ),f ( v _ { 0 } ) = \frac { \lim \limits _ { z + z } } f ( r ),False,False,False,both_wrong,False,False,False,both_wrong,False,False
29_em_171,False,\lim _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim \limits _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },\lim \limits _ { t \rightarrow c } a _ { 1 } ( t ) = a _ { 1 },True,False,True,san_only,False,True,True,posformer_only,True,True
31_em_175,False,\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim \limits _ { x \rightarrow c } f ( x ) = f ( c ),\lim _ { x \rightarrow c } f ( x ) = f ( c ),\lim \limits _ { x \rightarrow c } f ( x ) = f ( c ),True,False,True,san_only,False,True,True,posformer_only,True,True
31_em_191,False,\sum _ { j = 1 } ^ { m } a _ { j } e _ { j },\sum \limits _ { j = 1 } ^ { m } a _ { j } e _ { j },\sum _ { j = 1 } ^ { m } a _ { j } e j,\sum \limits _ { j = 1 } ^ { m } a _ { j } e _ { j },False,False,False,both_wrong,False,True,True,posformer_only,False,True
31_em_192,False,\int _ { a } ^ { x } f ( x ) d x,\int \limits _ { a } ^ { x } f ( x ) d x,\int _ { a } ^ { x } f ( x ) d x,\int \limits _ { a } ^ { x } f ( x ) d x,True,False,True,san_only,False,True,True,posformer_only,True,True
31_em_198,False,\lim _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,\lim \limits _ { x \rightarrow - \infty } p _ { 2 } ( x ) > 0,\lim _ { x \rightarrow - \alpha } p _ { 2 } ( a ) > 0,\lim \limits _ { x \rightarrow - \alpha } p _ { 2 } ( a ) > 0,False,False,False,both_wrong,False,False,False,both_wrong,False,False
32_em_201,False,\sum _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum _ { i = 1 } ^ { n } ( a _ { k } ),\sum \limits _ { k = 1 } ^ { n } ( c a _ { k } ) = c \sum \limits _ { i = 1 } ^ { n } ( a _ { k } ),\sum _ { n = 1 } ^ { n } ( ( a _ { n } ) = \sum _ { i = 1 } ^ { n } ( a _ { i } ),\sum \limits _ { k = 1 } ^ { n } ( ( a _ { k } ) = \sum \limits _ { i = 1 } ^ { n } ( a _ { i } ),False,False,False,both_wrong,False,False,False,both_wrong,False,False
34_em_234,False,\int _ { 0 } ^ { \pi } ( \sin ( t ) - t ) d t = 2 - \frac { 1 } { 2 } \pi ^ { 2 },\int \limits _ { 0 } ^ { \pi } ( \sin ( t ) - t ) d t = 2 - \frac { 1 } { 2 } \pi ^ { 2 },\int _ { 0 } ^ { \pi } ( \sin t ) - t ) d = 2 - \frac { 1 } { 2 } \pi ^ { 2 },\int \limits _ { 0 } ^ { \pi } ( \sin ( t ) - t ) d = 2 - \frac { 1 } { 2 } \pi ^ { 2 },False,False,False,both_wrong,False,False,False,both_wrong,False,False
