sample_id,category,review_priority,explanation,ground_truth_san,ground_truth_posformer,san_prediction,posformer_prediction,san_correct_gt_san,san_correct_gt_posformer,posformer_correct_gt_san,posformer_correct_gt_posformer,favors_san_annotation,favors_posformer_annotation,affects_model_correctness,token_count_san,token_count_posformer,sequence_similarity,replace_blocks,insert_blocks,delete_blocks,edit_details
RIT_2014_51,structural_difference,muy_alta,"Cambian tokens estructurales como ^, _, \frac, \sqrt, \sum, \int, etc.","1 , 0 0 0 _ { , } 0 0 0 _ { , } 0 0 0","1 , 0 0 0 , 0 0 0 , 0 0 0",1 0 0 0 . 0 0 0 . 0 0 0,1 0 0 0 0 0 0 0 . 0 0 0,False,False,False,False,False,False,False,19,13,0.8125,0,0,4,delete: [_ {] -> [] | delete: [}] -> [] | delete: [_ {] -> [] | delete: [}] -> []
RIT_2014_225,structural_difference,muy_alta,"Cambian tokens estructurales como ^, _, \frac, \sqrt, \sum, \int, etc.","d ( x , y ) + d ( y _ { , } z ) \geq d ( x _ { , } z )","d ( x , y ) + d ( y , z ) \geq d ( x , z )","d ( x , y ) + d ( y , z ) \geq d ( x , z )","d ( x , y ) + d ( y , z ) \geq d ( x , z )",False,True,False,True,False,True,True,26,20,0.8696,0,0,4,delete: [_ {] -> [] | delete: [}] -> [] | delete: [_ {] -> [] | delete: [}] -> []
RIT_2014_217,structural_difference,muy_alta,"Cambian tokens estructurales como ^, _, \frac, \sqrt, \sum, \int, etc.","v _ { \pm 1 , \pm 2 _ { , } \pm 3 }","v _ { \pm 1 , \pm 2 , \pm 3 }","V \pm 1 , \pm 2 \pm 3","V \pm 1 , \pm 2 , \pm 3",False,False,False,False,False,False,False,15,12,0.8889,0,0,2,delete: [_ {] -> [] | delete: [}] -> []
RIT_2014_133,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,0 \leq x \leq 2 \pi,0 \leq x \leq 2 \Pi,0 \leq X \leq 2 \pi,0 \leq X \leq 2 \pi,False,False,False,False,False,False,False,6,6,0.8333,1,0,0,replace: [\pi] -> [\Pi]
RIT_2014_216,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\lim _ { y \rightarrow x f ( y ) = f ( x ) },\lim \limits _ { y \rightarrow x } f ( y ) = f ( x ),\lim _ { y \rightarrow x } f ( y ) = f ( x ),\lim \limits _ { y \rightarrow x } f ( y ) = f ( x ),False,False,False,True,False,True,True,16,17,0.9091,0,2,1,insert: [] -> [\limits] | insert: [] -> [}] | delete: [}] -> []
RIT_2014_191,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",x [ \infty ] = \lim _ { z \rightarrow 1 ( z - 1 ) x ( z ) },x [ \infty ] = \lim \limits _ { z \rightarrow 1 } ( z - 1 ) x ( z ),x [ \infty ] \cdot \lim _ { z \rightarrow 1 } ( z - 1 ) X ( z ),x [ \infty ] = \lim \limits _ { z \rightarrow 1 } ( z - 1 ) X ( z ),False,False,False,False,False,False,False,21,22,0.9302,0,2,1,insert: [] -> [\limits] | insert: [] -> [}] | delete: [}] -> []
36_em_48,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { k } j [ k ],\sum \limits _ { k } j [ k ],\sum _ { m } j [ x ],\sum \limits _ { k } j [ k ],False,False,False,True,False,True,True,9,10,0.9474,0,1,0,insert: [] -> [\limits]
28_em_144,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\sum _ { i } k _ { i },\sum \limits _ { i } k _ { i },\sum _ { i } k _ { i },\sum \limits _ { i } k _ { i },True,False,False,True,True,True,True,10,11,0.9524,0,1,0,insert: [] -> [\limits]
RIT_2014_267,minor_lexical_difference,alta,"Secuencias muy parecidas, pero con diferencias lexicales.",\int _ { a } ^ { c } f + \int _ { c } ^ { b } f = \int _ { a } ^ { b } f,\int \limits _ { a } ^ { c } f + \int \limits _ { c } ^ { b } f = \int \limits _ { a } ^ { b } f,\int _ { a } ^ { c } f + \int _ { c } ^ { b } f = \int _ { a } ^ { b } f,\int \limits _ { a } ^ { c } f + \int \limits _ { c } ^ { b } f = \int \limits _ { a } ^ { b } f,True,False,False,True,True,True,True,32,35,0.9552,0,3,0,insert: [] -> [\limits] | insert: [] -> [\limits] | insert: [] -> [\limits]
27_em_102,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { a \rightarrow \infty } f ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),\lim _ { a \rightarrow \infty } b ( a ),\lim \limits _ { a \rightarrow \infty } f ( a ),False,False,False,True,False,True,True,11,12,0.9565,0,1,0,insert: [] -> [\limits]
36_em_32,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { x \rightarrow 0 } f ( x ),\lim \limits _ { x \rightarrow 0 } f ( x ),\lim _ { x \rightarrow 0 } f ( x ),\lim \limits _ { x \rightarrow 0 } f ( x ),True,False,False,True,True,True,True,11,12,0.9565,0,1,0,insert: [] -> [\limits]
RIT_2014_181,single_edit_block,alta,La diferencia se concentra en un solo bloque de edicion.,\lim _ { b \rightarrow \infty } f ( b ),\lim \limits _ { b \rightarrow \infty } f ( b ),\lim _ { b \rightarrow \infty } f ( 6 ),\lim \limits _ { b \rightarrow \infty } f ( b ),False,False,False,True,False,True,True,11,12,0.9565,0,1,0,insert: [] -> [\limits]
