id,latex_modelo1,posicion_modelo1,latex_modelo2,posicion_modelo2,misma_posicion,desplazamiento_posicion,normalizado_modelo1,normalizado_modelo2,tokens_modelo1,tokens_modelo2,texto_exacto_igual,espacios_normalizados_iguales,tokens_iguales,n_tokens_modelo1,n_tokens_modelo2,delta_n_tokens,distancia_tokens,operaciones,iguales_sin_limits,tipo_diferencia,archivo_modelo1,archivo_modelo2,hash_igual,pixeles_iguales,mismas_dimensiones,estado_conjunto
18_em_0,x _ { k } x x _ { k } + y _ { k } y x _ { k },0,x _ { k } x x _ { k } + y _ { k } y x _ { k },664,False,664,x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },x _ { k } x x _ { k } + y _ { k } y x _ { k },True,True,True,23,23,0,0,[],True,idéntica,18_em_0_0.bmp,18_em_0.bmp,True,True,True,imagen y anotación iguales
18_em_10,2 6,1,2 6,8,False,7,2 6,2 6,2 6,2 6,True,True,True,2,2,0,0,[],True,idéntica,18_em_10_0.bmp,18_em_10.bmp,True,True,True,imagen y anotación iguales
18_em_11,q _ { t } = 2 q,2,q _ { t } = 2 q,249,False,247,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,q _ { t } = 2 q,True,True,True,8,8,0,0,[],True,idéntica,18_em_11_0.bmp,18_em_11.bmp,True,True,True,imagen y anotación iguales
18_em_12,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },3,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },713,False,710,\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },\frac { p e ^ { t } } { 1 - ( 1 - p ) e ^ { t } },True,True,True,23,23,0,0,[],True,idéntica,18_em_12_0.bmp,18_em_12.bmp,True,True,True,imagen y anotación iguales
18_em_13,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },602,False,598,4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },4 ^ { 2 } + 4 ^ { 2 } + \frac { 4 } { 4 },True,True,True,19,19,0,0,[],True,idéntica,18_em_13_0.bmp,18_em_13.bmp,True,True,True,imagen y anotación iguales
18_em_14,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },5,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },825,False,820,\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },\frac { d y } { d x } = \frac { 1 } { \frac { d x } { d y } },True,True,True,25,25,0,0,[],True,idéntica,18_em_14_0.bmp,18_em_14.bmp,True,True,True,imagen y anotación iguales
18_em_15,k = 1 0 0 0 0 0 0 0 0 0,6,k = 1 0 0 0 0 0 0 0 0 0,368,False,362,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,k = 1 0 0 0 0 0 0 0 0 0,True,True,True,12,12,0,0,[],True,idéntica,18_em_15_0.bmp,18_em_15.bmp,True,True,True,imagen y anotación iguales
18_em_16,m \geq 2,7,m \geq 2,96,False,89,m \geq 2,m \geq 2,m \geq 2,m \geq 2,True,True,True,3,3,0,0,[],True,idéntica,18_em_16_0.bmp,18_em_16.bmp,True,True,True,imagen y anotación iguales
18_em_17,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },8,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },656,False,648,u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },u ( t ) = \frac { u ( 0 ) } { 1 - t u ( 0 ) },True,True,True,21,21,0,0,[],True,idéntica,18_em_17_0.bmp,18_em_17.bmp,True,True,True,imagen y anotación iguales
18_em_18,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },9,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },700,False,691,\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },\theta _ { 3 } = \theta _ { 1 } + \theta _ { 2 },True,True,True,17,17,0,0,[],True,idéntica,18_em_18_0.bmp,18_em_18.bmp,True,True,True,imagen y anotación iguales
18_em_19,y \neq x,10,y \neq x,117,False,107,y \neq x,y \neq x,y \neq x,y \neq x,True,True,True,3,3,0,0,[],True,idéntica,18_em_19_0.bmp,18_em_19.bmp,True,True,True,imagen y anotación iguales
18_em_1,\sqrt { 4 8 },11,\sqrt { 4 8 },188,False,177,\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },\sqrt { 4 8 },True,True,True,5,5,0,0,[],True,idéntica,18_em_1_0.bmp,18_em_1.bmp,True,True,True,imagen y anotación iguales
18_em_20,\frac { 1 } { p } + \frac { 1 } { q } = 1,12,\frac { 1 } { p } + \frac { 1 } { q } = 1,621,False,609,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,\frac { 1 } { p } + \frac { 1 } { q } = 1,True,True,True,17,17,0,0,[],True,idéntica,18_em_20_0.bmp,18_em_20.bmp,True,True,True,imagen y anotación iguales
